download_url,document_url,title,date_uploaded,description,tag,category,language,privacy,total_views,slideshare_views,embed_views,total_likes,total_comments,total_downloads
https://www.slideshare.net/dwnld_file?s_title=will-the-apache-maturity-model-save-your-project,https://www.slideshare.net/bdelacretaz/will-the-apache-maturity-model-save-your-project,Will the Apache Maturity Model save your project?,2015-10-02 11:03:04 UTC,"The answer is no, but it will help! There's not much commentary on those slides actually, you had to be there. The actual model is at https://community.apache.org/apache-way/apache-project-maturity-model.html","apache,asf,opensource",presentation,en,public,988,966,22,1,7,6
https://www.slideshare.net/dwnld_file?s_title=restful-osgi-middleware-for-nosql-databases-with-docker,https://www.slideshare.net/bdelacretaz/restful-osgi-middleware-for-nosql-databases-with-docker,RESTful OSGi middleware for NoSQL databases with Docker,2016-01-20 22:25:09 UTC,"Slides of my talk at Snowcamp 2016 in Grenoble, http://sched.co/5nB9 - code is at https://github.com/bdelacretaz/sling-nosql-frontend","sling,osgi,docker,mongo,redis,java",presentation,en,public,2654,1824,830,5,4,12
https://www.slideshare.net/dwnld_file?s_title=open-development-in-the-enterprise-19-minutes-2016-version,https://www.slideshare.net/bdelacretaz/open-development-in-the-enterprise-19-minutes-2016-version,"Open Development in the Enterprise, 19 minutes 2016 version",2016-09-08 07:37:46 UTC,"Yet another take on this topic, in condensed form.","opendevelopment,opensource,apache,adobe",presentation,en,public,257,240,17,0,3,9
https://www.slideshare.net/dwnld_file?s_title=can-we-run-the-whole-web-on-apache-sling,https://www.slideshare.net/bdelacretaz/can-we-run-the-whole-web-on-apache-sling,Can we run the Whole Web on Apache Sling?,2016-10-04 12:04:09 UTC,"Slides of our talk at adaptTo 2016, Chetan Mehrotra and myself (https://adapt.to/2016/en/schedule/let_s-run-the-whole-web-on-apache-sling-and-oak-.html). 

The code is at https://github.com/bdelacretaz/sling-adaptto-2016 and uses Docker to build a dynamic cluster of Apache Sling instances.","sling,oak,apache,adaptto,docker",presentation,en,public,768,721,47,2,3,9
https://www.slideshare.net/dwnld_file?s_title=i-will-not-attend-your-meeting-im-an-open-source-person,https://www.slideshare.net/bdelacretaz/i-will-not-attend-your-meeting-im-an-open-source-person,I will NOT attend your meeting - I'm an Open Source person,2017-03-14 16:37:59 UTC,"Slides of my ""I will NOT attend your meeting"" talk at ApacheCon EU 2016, Séville",meetings opensource opendevelopment collaboration,presentation,en,public,447,432,15,1,2,4
https://www.slideshare.net/dwnld_file?s_title=simple-software-is-harddont-give-up,https://www.slideshare.net/bdelacretaz/simple-software-is-harddont-give-up,Simple software is hard...don't give up!,2017-04-20 09:51:31 UTC,"Slides of my ApacheCon 2014 talk on simplicity. Creating simple software is hard work, we shouldn't give up until what we are building is simple enough.","software development,simplicity,apachecon,opendevelopment",presentation,en,public,207,191,16,0,3,1
https://www.slideshare.net/dwnld_file?s_title=who-needs-meetings-asynchronous-decision-making-to-the-rescue,https://www.slideshare.net/bdelacretaz/who-needs-meetings-asynchronous-decision-making-to-the-rescue,Who needs meetings? Asynchronous Decision Making to the rescue,2017-05-04 07:18:23 UTC,"Based on my ""Success at Apache: Asynchronous Decision Making"" blog post ( https://blogs.apache.org/foundation/entry/success-at-apache-asynchronous-decision ) combined with a previous presentation on how meetings are expensive and often inefficient ( https://www.slideshare.net/bdelacretaz/i-will-not-attend-your-meeting-im-an-open-source-person )","collaboration,meetings,opendevelopment",presentation,en,public,751,690,61,1,5,3
https://www.slideshare.net/dwnld_file?s_title=building-an-apache-slng-rendering-farm,https://www.slideshare.net/bdelacretaz/building-an-apache-slng-rendering-farm,Building an Apache Sling Rendering Farm,2017-09-25 12:19:49 UTC,"Slides of my talk at the September 2017 adaptTo() conference, Berlin. https://adapt.to/2017/en/schedule/get-the-cattle-out--let-s-build-a-large-scale-sling-rendering-pr.html

Video of that talk at https://www.youtube.com/watch?v=8bH9envZXik","sling,osgi,jcr,adaptto,docker,containers",presentation,en,public,866,837,29,2,2,9
https://www.slideshare.net/dwnld_file?s_title=asynchronous-decision-making-foss-backstage-2017,https://www.slideshare.net/bdelacretaz/asynchronous-decision-making-foss-backstage-2017,Asynchronous Decision Making - FOSS Backstage 2017,2017-11-17 15:36:11 UTC,"Slides of my ""Asynchronous Decision Making - why and how?"" talk at the http://fossbackstage.de/ micro-summit, November 2017

I also gave this talk at FOSDEM 2018, a video recording (with somewhat poor audio unfortunately) is available at https://fosdem.org/2018/schedule/event/community_decision_making_why_how/

There's also a video recording of the French speaking version at devoxx.fr 2018, https://www.youtube.com/watch?v=xkC4zjtAyRc

See also my opensource.com article on the same topic at https://opensource.com/article/17/12/asynchronous-decision-making and a slightly older blog post at https://blogs.apache.org/foundation/entry/success-at-apache-asynchronous-decision","collaboration,open development,open source,apache,fossbackstage",presentation,en,public,7351,1859,5492,1,2,3
https://www.slideshare.net/dwnld_file?s_title=la-fondation-apache-keynote-au-paris-open-source-summit-2017,https://www.slideshare.net/bdelacretaz/la-fondation-apache-keynote-au-paris-open-source-summit-2017,La Fondation Apache - keynote au Paris Open Source Summit 2017,2017-12-08 10:47:26 UTC,"Slides de ma présentation à la ""plénière solutions"" du Paris Open Source Summit 2017","apache,asf,opensource",presentation,fr,public,255,242,13,1,2,1
https://www.slideshare.net/dwnld_file?s_title=project-and-community-services-the-apache-way,https://www.slideshare.net/bdelacretaz/project-and-community-services-the-apache-way,Project and Community Services the Apache Way,2017-12-08 10:50:52 UTC,Slides of the presentation that we did together with Emmanuel Lécharny at the Community Summit of Paris Open Source Summit 2017,"apache,asf,opensource,community",presentation,en,public,409,369,40,2,5,1
https://www.slideshare.net/dwnld_file?s_title=prise-de-dcisions-asynchrone-devoxx-france-2018,https://www.slideshare.net/bdelacretaz/prise-de-dcisions-asynchrone-devoxx-france-2018,"Prise de Décisions Asynchrone, Devoxx France 2018 (avec vidéo)",2018-04-19 11:23:58 UTC,"Vidéo: https://www.youtube.com/watch?v=xkC4zjtAyRc - c'est la version française de ma présentation sur la Prise de Décisions Asynchrone, enregistrée à Devoxx France 2018.","collaboration,opensource,opendevelopment,decisions",presentation,fr,public,1133,1083,50,2,4,6
https://www.slideshare.net/dwnld_file?s_title=they-dont-understand-me-tales-from-the-multicultural-trenches,https://www.slideshare.net/bdelacretaz/they-dont-understand-me-tales-from-the-multicultural-trenches,They don't understand me! Tales from the multi-cultural trenches,2018-06-13 13:32:44 UTC,"Slides from my FOSS Backstage 2018 talk on the difficulties of collaborating in multicultural environments.

A video recording should be available soon.

https://foss-backstage.de/session/they-dont-understand-me-tales-multi-cultural-trenches","collaboration,open source,apache,fossbackstage",presentation,en,public,550,509,41,3,3,2
